Label,Group,Count,RelevantCount
Cognitive Ability,Cognitive Abilties,798,512
Using Language Appropriately,Recognition of Social Norms,27,27
Decision Making Ability,Executive Function,38,38
Psychiatric Hospitalization,Complaints and indications,25,25
Interactions With Friends And Family,Interpersonal Interactions,18,18
Asperger Syndrome,Diagnosis,239,53
Functional Laterality,Motor Skills,19,5
Stereotyped Restricted And Repetitive Behavior,Stereotyped Restricted and Repetitive Behaviours,551,273
Drug Abuse,Exposures,17,17
Regression Of General Skills,Adaptive Life Skills,11,11
Dietary Supplements,Exposures,137,32
Form Perception,Cognitive Abilties,6,6
Sharing,Interpersonal Interactions,8,8
Interpersonal Awareness,Interpersonal Interactions,9,9
Relating To Others,Interpersonal Interactions,29,29
Sleeping Problems,Complaints and indications,68,31
Integrated Verbal And Nonverbal Communication,Language Ability,256,87
Awareness Of Social Cues,Recognition of Social Norms,104,104
Joint Attention,Interpersonal Interactions,105,23
Language Ability,Language Ability,200,48
Prader Willi Syndrome,Comorbidities,24,10
Pregnancy Complications,Perinatal History,4,4
Central Nervous System Diseases,Comorbidities,54,54
Dietary Restrictions,Exposures,49,19
Keeps To Self,Interpersonal Interactions,1,1
Respiratory Indications,Complaints and indications,14,14
Ability To Convey Information,Recognition of Social Norms,148,148
Down Syndrome,Comorbidities,48,16
Pain,Complaints and indications,112,30
Schizophrenia And Disorders With Psychotic Features,Comorbidities,247,105
Autistic Disorder,Diagnosis,173,35
Hygiene,Adaptive Life Skills,13,13
Response Inhibition,Executive Function,31,31
Impatience,Executive Function,1,1
Adherence To Rules In The Community,Adaptive Life Skills,1,1
Gastroesophageal Reflux,Comorbidities,9,9
Task Performance,Executive Function,88,88
Social Awkwardness,Interpersonal Interactions,16,3
Psychologic Indications,Complaints and indications,11,11
Obstetric Delivery Procedures,Perinatal History,6,2
Problem Solving Ability,Cognitive Abilties,50,50
Childhood Disintegrative Disorder,Comorbidities,5,5
Head Injury,Exposures,30,30
Emotional Swings,Emotional Traits,8,8
Systemic Lupus Erythematosus,Comorbidities,8,8
Depressive Disorder,Comorbidities,276,83
Poor Treatment By Others In Social Settings,Interpersonal Interactions,29,16
Understanding Affect of Ones Actions,Interpersonal Interactions,4,4
Smith Lemli Opitz Syndrome,Comorbidities,2,2
Celiac Disease,Comorbidities,6,6
Tuberous Sclerosis,Comorbidities,64,12
Understanding Others Expectations,Interpersonal Interactions,1,1
Ability To Engage In Casual Conversation,Recognition of Social Norms,16,16
Preparation Of Food,Adaptive Life Skills,13,13
Irritable Bowel Syndrome,Comorbidities,6,6
Anxiety Disorders,Comorbidities,416,103
Toileting,Adaptive Life Skills,5,5
Task Completion,Executive Function,6,6
Non Verbal Communication,Language Ability,85,85
Control Of Emotional Reactions,Executive Function,20,20
Participation In Play Activities,Adaptive Life Skills,10,10
Vocalizations,Language Ability,143,67
Hospitalizations,Exposures,236,99
Idiosyncratic And Routinized Speech,Language Ability,7,7
Hydrocephalus,Comorbidities,91,61
Aggressive Behavior,Recognition of Social Norms,179,43
Nervous System Diseases,Comorbidities,16,16
Responsiveness To Social Advances,Interpersonal Interactions,4,4
Working Memory,Executive Function,317,102
Ability To Convey Appropriate Level Of Detail,Recognition of Social Norms,13,13
Congenital Heart Defects,Comorbidities,7,7
Engaging In Social Play,Interpersonal Interactions,35,35
Crohn Disease,Comorbidities,6,6
Involuntary Behaviors,Stereotyped Restricted and Repetitive Behaviours,23,23
Performance Of Household Tasks,Adaptive Life Skills,2,2
Sexual Issues,Complaints and indications,6,6
Money Management,Adaptive Life Skills,4,4
Autoimmune Diseases,Comorbidities,16,16
Social Dependence On Others,Interpersonal Interactions,7,7
Preparing For Tasks,Executive Function,2,2
Language Development,Language Ability,83,25
Anger Control,Executive Function,3,3
Obstetric Delivery Complications,Perinatal History,12,12
Empathy,Interpersonal Interactions,235,93
Post Traumatic Stress Disorders,Comorbidities,70,20
Sensitivity To Conversant,Recognition of Social Norms,4,4
Lack Of Appropriate Guilt,Recognition of Social Norms,1,1
Fine Motor Skills,Motor Skills,57,57
Mood Disorders,Comorbidities,23,23
Restricted And Unusual Interests,Stereotyped Restricted and Repetitive Behaviours,42,42
Visual Thinking,Cognitive Abilties,461,182
Planning,Executive Function,182,68
Pregnancy Outcome,Perinatal History,2,2
Transitioning Ability,Executive Function,21,21
Affect,Emotional Traits,24,24
Visual Perception,Cognitive Abilties,27,27
Alcohol Drinking,Exposures,59,6
Flexibility In Problem Solving,Executive Function,1,1
Imitation,Interpersonal Interactions,14,14
Medications,Exposures,480,306
Impulse Control And Regulation,Executive Function,15,15
Recognition Of Social Norms,Recognition of Social Norms,34,34
Adaptive Life Skills,Adaptive Life Skills,22,22
Otitis,Comorbidities,6,6
Recognition And Responsiveness To Voice,Interpersonal Interactions,1,1
Ability To Convey Correct Information,Recognition of Social Norms,46,46
Conversational Skills,Recognition of Social Norms,66,21
Perinatal History,Perinatal History,269,115
Showing Emotion,Emotional Traits,19,5
Tourette Syndrome,Comorbidities,44,4
Ulcerative Colitis,Comorbidities,14,14
Understanding Logical Progression,Cognitive Abilties,5,5
Complications In Infancy,Perinatal History,1,1
Engagement In Social Activities,Adaptive Life Skills,81,81
Expressive Language,Language Ability,91,91
Numeracy,Cognitive Abilties,31,5
Vaccination,Exposures,8,8
Exposures,Exposures,237,82
Awareness Of Social And Personal Space,Recognition of Social Norms,8,3
Performance Of Chores,Adaptive Life Skills,40,40
Performance In School,Adaptive Life Skills,53,53
Asthma,Comorbidities,13,13
Medical History,Medical History,121,62
Thyroid Diseases,Comorbidities,4,4
Allergies,Comorbidities,40,17
Emotional Traits,Emotional Traits,8,8
Fragile X Syndrome,Comorbidities,126,11
Participation In Athletic Activities,Adaptive Life Skills,2,2
Social Competence,Social Competence,644,352
Ability To Convey Feelings,Recognition of Social Norms,8,8
Diabetes Mellitus Type 1,Comorbidities,33,33
Motor Skills,Motor Skills,154,77
Urogenital Diseases,Comorbidities,10,10
Substance Abuse During Pregnancy,Perinatal History,1,1
Neurologic Indications,Complaints and indications,296,125
Epilepsy,Comorbidities,230,40
Gastrointestinal Diseases,Comorbidities,27,9
Expressive Semantics,Language Ability,4,4
Cardiovascular Diseases,Comorbidities,43,43
Intentional Bad Behavior,Recognition of Social Norms,2,2
Siezures,Comorbidities,147,62
Destructive Behavior,Recognition of Social Norms,2,2
Depression,Emotional Traits,55,50
Distant Or Preoccupied Affect,Emotional Traits,7,7
Perinatal Exposures,Perinatal History,51,51
Muscle Weakness,Complaints and indications,8,8
Abstract Thinking,Cognitive Abilties,2,2
Congenital Abnormalities,Comorbidities,35,35
Space Perception,Cognitive Abilties,2,2
Mumps,Comorbidities,1,1
Strange Or Illogical Ideas,Complaints and indications,1,1
Pervasive Child Development Disorders,Diagnosis,3,3
Self Injurious Behavior,Executive Function,73,10
Sharing In Interests Of Others,Interpersonal Interactions,38,38
Lead Exposure,Exposures,2,2
Development Or Regression Of Language Skills,Language Ability,171,91
Awareness And Avoidance Of Danger,Executive Function,4,4
Pica,Complaints and indications,228,228
Imagination,Cognitive Abilties,86,30
Isolated Cognitive Skills,Cognitive Abilties,7,3
Bacterial Infections,Comorbidities,32,17
Clothing Self,Adaptive Life Skills,28,28
Neurofibromatoses,Comorbidities,3,3
Restricted And Repetitive Behavior,Stereotyped Restricted and Repetitive Behaviours,223,74
Intense Interests,Stereotyped Restricted and Repetitive Behaviours,17,17
Home Life Skills,Adaptive Life Skills,12,12
Apgar Score,Perinatal History,14,14
