Label,Group,Count,RelevantCount
Mental Disorders,Comorbidities,765,321
Engagement In Social Activities,Adaptive Life Skills,90,90
Adherence To Rules In The Community,Adaptive Life Skills,1,1
Asthma,Comorbidities,44,15
Hospitalizations,Exposures,423,210
Mental Retardation,Comorbidities,444,110
Dietary Supplements,Exposures,304,74
Self Care,Adaptive Life Skills,18,18
Poor Treatment By Others In Social Settings,Interpersonal Interactions,29,16
Use Of Everyday Household Items,Adaptive Life Skills,1,1
Virus Diseases,Comorbidities,97,37
Receptive Syntax,Language Ability,3,3
Childhood Disintegrative Disorder,Comorbidities,14,14
Pain,Complaints and indications,153,39
Poor Eating Behavior,Adaptive Life Skills,1,1
Control Of Emotional Reactions,Executive Function,26,26
Analytic Capability,Cognitive Abilties,1,1
Decision Making Ability,Executive Function,50,50
Herpesviridae Infections,Comorbidities,4,4
Nervous System Diseases,Comorbidities,36,36
Learning Disorders,Comorbidities,1000,300
Prader Willi Syndrome,Comorbidities,52,18
Skill In Understanding Humor,Recognition of Social Norms,33,33
Non Verbal Communication,Language Ability,113,113
Pica,Complaints and indications,248,248
Social Dependence On Others,Interpersonal Interactions,7,7
Obstetric Delivery Procedures,Perinatal History,16,5
Lethargy,Complaints and indications,17,17
Pattern Recognition And Rendering,Cognitive Abilties,26,26
Regression Of General Skills,Adaptive Life Skills,22,22
Neurofibromatoses,Comorbidities,3,3
Schizophrenia And Disorders With Psychotic Features,Comorbidities,515,96
Facial Expressions,Language Ability,9,9
Performance In School,Adaptive Life Skills,59,59
Skill In Understanding Non Literal Meaning,Recognition of Social Norms,6,6
Thyroid Diseases,Comorbidities,7,7
Stereotyped Restricted And Repetitive Behavior,Stereotyped Restricted and Repetitive Behaviours,891,229
Adherence To Rules In The Home,Adaptive Life Skills,1,1
Performance Of Household Tasks,Adaptive Life Skills,2,2
Psychiatric Hospitalization,Complaints and indications,71,71
Sleeping Problems,Complaints and indications,109,26
Vocalizations,Language Ability,191,99
Participation In Play Activities,Adaptive Life Skills,10,10
Gross Motor Skills,Motor Skills,61,61
Suspicious Of Others,Complaints and indications,36,36
Emotional Regulation And Control,Executive Function,61,6
Drug Abuse,Exposures,29,29
Smoking,Exposures,69,17
Tuberous Sclerosis,Comorbidities,163,26
Smith Lemli Opitz Syndrome,Comorbidities,8,8
Recognition And Responsiveness To Voice,Interpersonal Interactions,1,1
Obsessive Compulsive Disorder,Comorbidities,225,44
Metabolic Indications,Complaints and indications,121,53
Home Life Skills,Adaptive Life Skills,13,13
Participation In Athletic Activities,Adaptive Life Skills,2,2
Transitioning Ability,Executive Function,28,28
Reasoning,Cognitive Abilties,16,3
Bacterial Infections,Comorbidities,105,45
Repetitive Actions,Stereotyped Restricted and Repetitive Behaviours,10,10
Self Concept,Emotional Traits,1,1
Tourette Syndrome,Comorbidities,86,12
Cri Du Chat Syndrome,Comorbidities,2,2
Endocrine System Diseases,Comorbidities,24,24
Executive Function,Executive Function,239,52
Involuntary Behaviors,Stereotyped Restricted and Repetitive Behaviours,34,34
Pervasive Child Development Disorders,Diagnosis,4,4
Receptive Language,Language Ability,78,78
Responsiveness To Social Advances,Interpersonal Interactions,4,4
Showing Emotion,Emotional Traits,20,6
Ability To Convey Appropriate Level Of Detail,Recognition of Social Norms,19,19
Visual Perception,Cognitive Abilties,32,32
Comorbidities,Comorbidities,484,248
Ability To Convey Correct Information,Recognition of Social Norms,70,70
Abstract Thinking,Cognitive Abilties,2,2
Idiosyncratic And Routinized Speech,Language Ability,11,11
Impatience,Executive Function,1,1
Intentional Bad Behavior,Recognition of Social Norms,2,2
Crohn Disease,Comorbidities,20,20
Cardiovascular Diseases,Comorbidities,93,35
Use Of Free Time,Executive Function,46,10
Ability To Convey Information,Recognition of Social Norms,200,200
Mumps,Comorbidities,4,4
Down Syndrome,Comorbidities,94,28
Urogenital Diseases,Comorbidities,24,24
Cranial Nerve Diseases,Comorbidities,7,7
Muscle Weakness,Complaints and indications,11,11
Engaging In Social Conversation,Interpersonal Interactions,75,29
Strange Or Illogical Ideas,Complaints and indications,3,3
Unusual Sensory Interests,Stereotyped Restricted and Repetitive Behaviours,34,34
Maintenance And Organization Of Possessions,Adaptive Life Skills,1,1
Flexibility In Problem Solving,Executive Function,1,1
Prosody,Language Ability,121,29
Problem Solving Ability,Cognitive Abilties,63,63
Lead Exposure,Exposures,5,5
Disobedience,Recognition of Social Norms,1,1
Expressive Syntax,Language Ability,19,19
Asperger Syndrome,Diagnosis,375,61
Anger Control,Executive Function,3,3
Otitis,Comorbidities,8,8
Body Temperature Changes,Complaints and indications,26,26
Recognition Of Social Norms,Recognition of Social Norms,38,38
Using Language Appropriately,Recognition of Social Norms,30,30
Irritable Bowel Syndrome,Comorbidities,18,9
Central Nervous System Diseases,Comorbidities,112,41
Self Injurious Behavior,Executive Function,99,15
Sharing,Interpersonal Interactions,11,11
Empathy,Interpersonal Interactions,289,107
Cognitive Ability,Cognitive Abilties,1221,700
Adaptive Life Skills,Adaptive Life Skills,27,27
Understanding Effect Of Ones Actions,Interpersonal Interactions,5,5
Joint Attention,Interpersonal Interactions,119,25
Mood,Emotional Traits,172,61
Congenital Abnormalities,Comorbidities,72,26
