term, term, count
MAGEL2, prader-willi_syndrome, 7
CDKL5, rett_syndrome, 7
TCF4, epilepsy, 7
TCF4, rett_syndrome, 7
MEF2C, rett_syndrome, 7
TBR1, rett_syndrome, 7
MSN, bipolar_disorder, 7
POGZ, siezures, 7
TBX1, fragile_x_syndrome, 7
DLX1, siezures, 7
DLX1, epilepsy, 7
DLX2, mental_disorders, 7
ERBB4, schizophrenia_and_disorders_with_psychotic_features, 7
IL1RAPL1, epilepsy, 7
CDH8, onset_of_symptoms, 7
CDH8, epilepsy, 7
CDH9, autism_phenotype, 6
SLC6A4, fragile_x_syndrome, 6
DNMT3A, mental_disorders, 6
DRD2, mental_disorders, 6
DRD2, schizophrenia_and_disorders_with_psychotic_features, 6
IMMP2L, onset_of_symptoms, 6
IMMP2L, schizophrenia_and_disorders_with_psychotic_features, 6
DPP10, schizophrenia_and_disorders_with_psychotic_features, 6
MAGEL2, complaints_and_indications, 6
EHMT1, rett_syndrome, 6
MBD5, neurologic_indications, 6
MBD5, schizophrenia_and_disorders_with_psychotic_features, 6
RAI1, siezures, 6
RAI1, rett_syndrome, 6
RAI1, neurologic_indications, 6
ARID1B, onset_of_symptoms, 6
ARID1B, medications, 6
GABRA5, epilepsy, 6
GRIN2A, neurologic_indications, 6
GRIN2A, mental_disorders, 6
NLGN2, onset_of_symptoms, 6
AVP, complaints_and_indications, 6
MAPK3, siezures, 6
DCX, working_memory, 6
SEMA5A, epilepsy, 6
TBX1, epilepsy, 6
DLX1, social_competence, 6
DLX2, siezures, 6
DLX2, epilepsy, 6
SLC6A1, schizophrenia_and_disorders_with_psychotic_features, 6
PTPN11, comorbidities, 6
ERBB4, epilepsy, 6
PCDH19, tuberous_sclerosis, 6
SATB2, schizophrenia_and_disorders_with_psychotic_features, 6
TAOK2, schizophrenia_and_disorders_with_psychotic_features, 6
NTNG1, schizophrenia_and_disorders_with_psychotic_features, 6
PTCHD1, schizophrenia_and_disorders_with_psychotic_features, 6
DOCK8, epilepsy, 6
CDH8, neurologic_indications, 6
TUBGCP5, schizophrenia_and_disorders_with_psychotic_features, 5
DPP10, onset_of_symptoms, 5
DPP10, medications, 5
WNT2, neurologic_indications, 5
KDM6A, epilepsy, 5
KDM6A, rett_syndrome, 5
KDM6A, neurologic_indications, 5
HDAC4, neurologic_indications, 5
EP300, siezures, 5
ATRX, epilepsy, 5
GRIN1, perinatal_history, 5
GRIN1, schizophrenia_and_disorders_with_psychotic_features, 5
CBS, dietary_supplements, 5
CBS, neurologic_indications, 5
NLGN2, comorbidities, 5
CHD2, comorbidities, 5
CHD2, siezures, 5
AVPR1A, social_competence, 5
DLG4, working_memory, 5
OTUD7A, epilepsy, 5
OTUD7A, schizophrenia_and_disorders_with_psychotic_features, 5
NTRK2, social_competence, 5
NTRK2, depressive_disorder, 5
CACNA1D, epilepsy, 5
KATNAL2, epilepsy, 5
SCN5A, epilepsy, 5
SCN5A, neurologic_indications, 5
HOXA1, mental_disorders, 5
HOXA1, mental_retardation, 5
CREBBP, fragile_x_syndrome, 5
ARX, epilepsy, 5
ARX, rett_syndrome, 5
ACHE, exposures, 5
TPH2, obsessive-compulsive_disorder, 5
TPH2, mental_disorders, 5
CADPS2, neurologic_indications, 5
PTPN11, tuberous_sclerosis, 5
ERBB4, neurologic_indications, 5
SCN8A, epilepsy, 5
PCDH19, epilepsy, 5
PCDH19, rett_syndrome, 5
AMT, working_memory, 5
CTCF, schizophrenia_and_disorders_with_psychotic_features, 5
VIP, social_competence, 5
VIP, onset_of_symptoms, 5
VIP, schizophrenia_and_disorders_with_psychotic_features, 5
TAOK2, mental_disorders, 5
IL1RAPL1, complaints_and_indications, 5
DLGAP2, mental_disorders, 5
DLGAP2, schizophrenia_and_disorders_with_psychotic_features, 5
PCDH10, onset_of_symptoms, 5
PCDH10, social_competence, 5
PCDH10, neurologic_indications, 5
MACROD2, fragile_x_syndrome, 5
MACROD2, schizophrenia_and_disorders_with_psychotic_features, 5
CUX1, visual_thinking, 5
CUX1, schizophrenia_and_disorders_with_psychotic_features, 5
ASH1L, epilepsy, 5
NTNG1, fragile_x_syndrome, 5
DOCK8, siezures, 5
ANKRD11, neurologic_indications, 5
KCTD13, schizophrenia_and_disorders_with_psychotic_features, 5
ADSL, neurologic_indications, 4
ADSL, siezures, 4
PVALB, social_competence, 4
PVALB, complaints_and_indications, 4
PVALB, dietary_supplements, 4
CASK, mental_retardation, 4
CASK, onset_of_symptoms, 4
NTRK3, onset_of_symptoms, 4
ACE, ability_to_converse_in_social_settings, 4
HTR2A, mental_disorders, 4
HTR2A, depressive_disorder, 4
HDAC4, language_ability, 4
SMARCA4, rett_syndrome, 4
AFF2, dietary_supplements, 4
CBS, schizophrenia_and_disorders_with_psychotic_features, 4
GSK3B, neurologic_indications, 4
GSK3B, siezures, 4
PAH, mental_disorders, 4
SNAP25, onset_of_symptoms, 4
SNAP25, perinatal_history, 4
SNAP25, mental_disorders, 4
ZBTB20, mental_retardation, 4
RBFOX1, epilepsy, 4
PCDH9, onset_of_symptoms, 4
MTHFR, perinatal_history, 4
MTHFR, dietary_supplements, 4
MTHFR, schizophrenia_and_disorders_with_psychotic_features, 4
AVPR1A, ability_to_converse_in_social_settings, 4
AVPR1A, complaints_and_indications, 4
MAL, onset_of_symptoms, 4
OTUD7A, mental_disorders, 4
ATP10A, epilepsy, 4
NIPA1, epilepsy, 4
TRPM1, schizophrenia_and_disorders_with_psychotic_features, 4
TRPM1, epilepsy, 4
NTRK2, epilepsy, 4
CACNA1D, siezures, 4
CACNA1D, complaints_and_indications, 4
HERC2, epilepsy, 4
HERC2, mental_retardation, 4
NBEA, working_memory, 4
RAB39B, epilepsy, 4
GRID2, schizophrenia_and_disorders_with_psychotic_features, 4
NRXN2, SHANK, 4
SCN5A, siezures, 4
HOXA1, siezures, 4
AHI1, language_ability, 4
AHI1, perinatal_history, 4
AHI1, rett_syndrome, 4
AHI1, mental_disorders, 4
ARX, fragile_x_syndrome, 4
C4B, allergies, 4
YY1, comorbidities, 4
MAOA, complaints_and_indications, 4
DHCR7, fragile_x_syndrome, 4
DHCR7, neurologic_indications, 4
TPH2, complaints_and_indications, 4
SYN1, epilepsy, 4
DRD3, dietary_supplements, 4
DRD3, mental_disorders, 4
RIMS3, epilepsy, 4
NRG1, overactivity, 4
NRG1, onset_of_symptoms, 4
NRG1, bipolar_disorder, 4
NRG1, mental_disorders, 4
SLC6A1, onset_of_symptoms, 4
SLC6A1, perinatal_history, 4
CSMD1, medications, 4
CSMD1, schizophrenia_and_disorders_with_psychotic_features, 4
CADPS2, epilepsy, 4
HRAS, bipolar_disorder, 4
KCNQ3, epilepsy, 4
KCNQ2, siezures, 4
KCNQ2, epilepsy, 4
SCN8A, bipolar_disorder, 4
SCN8A, working_memory, 4
SCN8A, attention_deficit_disorder_with_hyperactivity, 4
SLC12A5, epilepsy, 4
PLCB1, siezures, 4
PLCB1, epilepsy, 4
PLCB1, attention_deficit_disorder_with_hyperactivity, 4
CX3CR1, autism_phenotype, 4
AMT, CAGE, 4
AMT, social_competence, 4
SATB2, bipolar_disorder, 4
SATB2, social_competence, 4
ANK2, complaints_and_indications, 4
CTCF, epilepsy, 4
CTCF, medications, 4
GRIA1, schizophrenia_and_disorders_with_psychotic_features, 4
KDM5C, epilepsy, 4
SLC6A8, complaints_and_indications, 4
SLC6A8, siezures, 4
ZNF804A, schizophrenia_and_disorders_with_psychotic_features, 4
TAOK2, neurologic_indications, 4
ITPR1, medications, 4
ITPR1, siezures, 4
TPO, onset_of_symptoms, 4
ASTN2, onset_of_symptoms, 4
ASTN2, attention_deficit_disorder_with_hyperactivity, 4
ASTN2, mental_disorders, 4
DLGAP2, perinatal_history, 4
CTNND2, fragile_x_syndrome, 4
CTNND2, FMRP, 4
ASPM, pica, 4
ASPM, neurologic_indications, 4
ASPM, mental_retardation, 4
CTTNBP2, epilepsy, 4
RHEB, working_memory, 4
MAPK1, comorbidities, 4
MAPK1, tuberous_sclerosis, 4
CUX1, performance_of_chores, 4
MYT1L, rett_syndrome, 4
WDFY3, epilepsy, 4
ESR1, medications, 4
DOCK8, mental_disorders, 4
GRM8, epilepsy, 4
GNB1L, complaints_and_indications, 4
ANKRD11, siezures, 4
DPP6, medical_history, 4
CNTN5, visual_thinking, 4
PHF8, epilepsy, 4
PHF8, rett_syndrome, 4
PHF8, mental_disorders, 4
PHF8, neurologic_indications, 4
EGR2, motor_skills, 4
RIMS1, epilepsy, 4
FHIT, complaints_and_indications, 3
FHIT, autism_phenotype, 3
FHIT, attention_deficit_disorder_with_hyperactivity, 3
FHIT, mental_disorders, 3
ADSL, epilepsy, 3
PPP2R5D, epilepsy, 3
PPP2R5D, siezures, 3
DRD2, perinatal_history, 3
GTF2I, complaints_and_indications, 3
GTF2I, exposures, 3
KIRREL3, dietary_supplements, 3
KIRREL3, neurologic_indications, 3
KIRREL3, tuberous_sclerosis, 3
CYP11B1, perinatal_history, 3
CYP11B1, attention_deficit_disorder_with_hyperactivity, 3
HTR2A, complaints_and_indications, 3
MAGED1, epilepsy, 3
APBA2, medications, 3
APBA2, schizophrenia_and_disorders_with_psychotic_features, 3
SMARCA4, epilepsy, 3
SMARCA4, fragile_x_syndrome, 3
HUWE1, epilepsy, 3
UBE3B, dietary_supplements, 3
UBE3B, epilepsy, 3
UBE3B, fragile_x_syndrome, 3
UBE3B, neurologic_indications, 3
DVL3, perinatal_history, 3
PAH, comorbidities, 3
UPF3B, mental_disorders, 3
UPF3B, neurologic_indications, 3
NPAS2, working_memory, 3
NPAS2, exposures, 3
GRM4, schizophrenia_and_disorders_with_psychotic_features, 3
OPRM1, ability_to_converse_in_social_settings, 3
OPRM1, dietary_supplements, 3
USP7, neurologic_indications, 3
ABAT, epilepsy, 3
ABAT, rett_syndrome, 3
ABAT, neurologic_indications, 3
APC, complaints_and_indications, 3
MAL, SMS, 3
STAT1, bipolar_disorder, 3
STAT1, schizophrenia_and_disorders_with_psychotic_features, 3
STAT1, mental_disorders, 3
CAMK2A, mental_retardation, 3
NIPA2, epilepsy, 3
NIPA2, mental_disorders, 3
NIPA2, schizophrenia_and_disorders_with_psychotic_features, 3
NIPA1, fragile_x_syndrome, 3
NIPA1, mental_disorders, 3
FAN1, schizophrenia_and_disorders_with_psychotic_features, 3
FAN1, epilepsy, 3
FAN1, visual_thinking, 3
TRPM1, visual_thinking, 3
TRPM1, siezures, 3
YWHAE, depressive_disorder, 3
NBEA, mental_retardation, 3
RAB39B, mental_disorders, 3
CTNNA3, onset_of_symptoms, 3
CTNNA3, medications, 3
CTNNA3, neurologic_indications, 3
CACNA2D3, onset_of_symptoms, 3
CACNA2D3, schizophrenia_and_disorders_with_psychotic_features, 3
CACNA2D3, neurologic_indications, 3
CBLN1, comorbidities, 3
CBLN1, perinatal_exposures, 3
CBLN1, schizophrenia_and_disorders_with_psychotic_features, 3
GRID2, onset_of_symptoms, 3
HDC, overactivity, 3
HDC, comorbidities, 3
HDC, medications, 3
GRID1, siezures, 3
CLN8, epilepsy, 3
CLN8, mental_retardation, 3
C4B, autoimmune_diseases, 3
C4B, hospitalizations, 3
YY1, mental_retardation, 3
YY1, mental_disorders, 3
MAOA, working_memory, 3
MAOA, autism_phenotype, 3
GABRA3, epilepsy, 3
GABRQ, autistic_disorder, 3
CC2D1A, comorbidities, 3
SYN1, siezures, 3
DRD3, perinatal_history, 3
DRD3, rett_syndrome, 3
RIMS3, onset_of_symptoms, 3
RIMS3, rett_syndrome, 3
SOX5, schizophrenia_and_disorders_with_psychotic_features, 3
SLC9A6, epilepsy, 3
SLC9A6, mental_disorders, 3
PLAUR, perinatal_history, 3
PLAUR, epilepsy, 3
PLAUR, rett_syndrome, 3
PLAUR, dietary_supplements, 3
CSMD1, mental_disorders, 3
HRAS, social_competence, 3
HRAS, exposures, 3
HRAS, schizophrenia_and_disorders_with_psychotic_features, 3
CACNA1A, onset_of_symptoms, 3
CACNA1A, siezures, 3
CACNA1A, epilepsy, 3
KCNQ3, siezures, 3
KCNQ3, schizophrenia_and_disorders_with_psychotic_features, 3
KCNQ2, bipolar_disorder, 3
SLC12A5, onset_of_symptoms, 3
SLC12A5, siezures, 3
BRAF, rett_syndrome, 3
BRAF, tuberous_sclerosis, 3
SLC9A9, siezures, 3
SLC9A9, epilepsy, 3
SLC9A9, attention_deficit_disorder_with_hyperactivity, 3
ROBO1, working_memory, 3
TYR, onset_of_symptoms, 3
TYR, working_memory, 3
CX3CR1, social_competence, 3
SLC25A27, epilepsy, 3
SLC25A27, dietary_supplements, 3
SLC25A27, exposures, 3
VPS13B, siezures, 3
VPS13B, epilepsy, 3
BCKDK, epilepsy, 3
BCKDK, rett_syndrome, 3
SETD2, onset_of_symptoms, 3
ERG, mental_disorders, 3
GABRA1, dietary_supplements, 3
GRIA1, epilepsy, 3
GRIA1, working_memory, 3
SMAD4, comorbidities, 3
MED12, epilepsy, 3
SLC1A2, obsessive-compulsive_disorder, 3
SLC6A8, perinatal_history, 3
SLC6A8, neurodegenerative_diseases, 3
SMARCA2, medications, 3
SMARCA2, working_memory, 3
POU3F2, rett_syndrome, 3
ZNF804A, bipolar_disorder, 3
ZNF804A, perinatal_history, 3
SEZ6L2, siezures, 3
SEZ6L2, epilepsy, 3
CADM1, exposures, 3
CADM1, epilepsy, 3
CADM1, medications, 3
TPO, working_memory, 3
TPO, language_ability, 3
TPO, complaints_and_indications, 3
PIK3CG, working_memory, 3
PIK3CG, autism_phenotype, 3
TBC1D7, siezures, 3
TBC1D7, epilepsy, 3
TBC1D7, rett_syndrome, 3
DMD, comorbidities, 3
DMD, rett_syndrome, 3
DMD, tuberous_sclerosis, 3
DMD, fragile_x_syndrome, 3
DPYD, epilepsy, 3
DPYD, rett_syndrome, 3
MDGA2, NLGN4, 3
MDGA2, hospitalizations, 3
MDGA2, mental_disorders, 3
DRD1, social_competence, 3
MTX2, complaints_and_indications, 3
MTX2, overactivity, 3
MTX2, epilepsy, 3
MTX2, medications, 3
CACNA1F, epilepsy, 3
KDM5B, cardiovascular_diseases, 3
KDM5B, mental_retardation, 3
ATP2B2, fragile_x_syndrome, 3
ATP2B2, schizophrenia_and_disorders_with_psychotic_features, 3
ATP2B2, mental_retardation, 3
RHEB, tuberous_sclerosis, 3
MAPK1, complaints_and_indications, 3
GABRA4, epilepsy, 3
GABRA4, autism_phenotype, 3
GABRA4, neurologic_indications, 3
CNTN6, epilepsy, 3
CNTN6, autism_phenotype, 3
CNTN6, motor_skills, 3
NR2F1, siezures, 3
NR2F1, perinatal_history, 3
NR2F1, dietary_supplements, 3
GRIP1, schizophrenia_and_disorders_with_psychotic_features, 3
GRIP1, visual_thinking, 3
GRIP1, onset_of_symptoms, 3
STX1A, complaints_and_indications, 3
STX1A, medications, 3
STX1A, attention_deficit_disorder_with_hyperactivity, 3
DMPK, language_ability, 3
DMPK, comorbidities, 3
PHIP, language_ability, 3
PHIP, comorbidities, 3
PHIP, siezures, 3
WDFY3, language_ability, 3
SRCAP, epilepsy, 3
SRCAP, mental_disorders, 3
KMT5B, epilepsy, 3
LAMC3, perinatal_history, 3
LAMC3, epilepsy, 3
NAA15, language_ability, 3
DLGAP1, perinatal_history, 3
CACNA1G, hospitalizations, 3
CACNA1G, social_competence, 3
GRM1, complaints_and_indications, 3
CACNA1H, epilepsy, 3
ESR1, exposures, 3
NIPBL, perinatal_history, 3
NIPBL, fragile_x_syndrome, 3
NIPBL, mental_disorders, 3
GRM8, medications, 3
GRM8, fragile_x_syndrome, 3
KCNJ10, siezures, 3
KCNJ10, epilepsy, 3
KCNJ10, neurologic_indications, 3
GNB1L, medications, 3
LMX1B, obsessive-compulsive_disorder, 3
LMX1B, mental_disorders, 3
CNTN5, rett_syndrome, 3
CNTN3, epilepsy, 3
CNTN3, language_ability, 3
SIN3A, epilepsy, 3
SIN3A, rett_syndrome, 3
EGR2, rett_syndrome, 3
EGR2, schizophrenia_and_disorders_with_psychotic_features, 3
EGR2, neurologic_indications, 3
KMT2C, epilepsy, 3
NR4A2, autism_phenotype, 3
NR4A2, social_competence, 3
DOCK4, neurologic_indications, 3
CUX2, schizophrenia_and_disorders_with_psychotic_features, 3
TRPC6, epilepsy, 3
TRPC6, medications, 3
STXBP5, epilepsy, 3
STXBP5, schizophrenia_and_disorders_with_psychotic_features, 3
DLX6, onset_of_symptoms, 3
PIK3R2, epilepsy, 2
PIK3R2, neurologic_indications, 2
USP9Y, complaints_and_indications, 2
USP9Y, onset_of_symptoms, 2
USP9Y, perinatal_history, 2
KIRREL3, siezures, 2
MYO16, neurologic_indications, 2
MYO16, visual_thinking, 2
MYO16, onset_of_symptoms, 2
FAM135B, perinatal_history, 2
FAM135B, medications, 2
FAM135B, dietary_supplements, 2
TRAPPC9, perinatal_history, 2
TRAPPC9, epilepsy, 2
TRAPPC9, dietary_supplements, 2
TRAPPC9, mental_disorders, 2
LAT, schizophrenia_and_disorders_with_psychotic_features, 2
MAGED1, prader-willi_syndrome, 2
MAGED1, siezures, 2
HUWE1, schizophrenia_and_disorders_with_psychotic_features, 2
APBB1, mood, 2
APBB1, medications, 2
APBB1, neurologic_indications, 2
DVL3, conversational_skills, 2
DVL3, neurologic_indications, 2
PAH, metabolic_indications, 2
ZBTB20, performance_of_chores, 2
GRM4, complaints_and_indications, 2
CAMK2A, job_performance, 2
CAMK2A, epilepsy, 2
PRKCB, working_memory, 2
PRKCB, pica, 2
YWHAE, mental_disorders, 2
RFWD2, SHANK, 2
RFWD2, tuberous_sclerosis, 2
NBEA, tuberous_sclerosis, 2
TET2, mental_disorders, 2
CACNA2D3, SHANK, 2
GRID1, SHANK, 2
GRID1, complaints_and_indications, 2
GRID1, onset_of_symptoms, 2
SLC6A3, overactivity, 2
SLC6A3, comorbidities, 2
SLC6A3, medications, 2
SLC6A3, attention_deficit_disorder_with_hyperactivity, 2
TRIP12, comorbidities, 2
TRIP12, siezures, 2
TRIP12, epilepsy, 2
TRIP12, development_or_regression_of_language_skills, 2
FABP7, exposures, 2
FABP7, hospitalizations, 2
FABP5, exposures, 2
FABP5, hospitalizations, 2
FABP3, exposures, 2
FABP3, hospitalizations, 2
VLDLR, complaints_and_indications, 2
VLDLR, comorbidities, 2
VLDLR, perinatal_history, 2
VLDLR, rett_syndrome, 2
RFX3, mental_disorders, 2
RFX3, iq, 2
EPS8, epilepsy, 2
EPS8, fragile_x_syndrome, 2
EPS8, schizophrenia_and_disorders_with_psychotic_features, 2
GRIK2, medical_history, 2
GRIK2, complaints_and_indications, 2
GABRA3, autistic_disorder, 2
GABRB1, complaints_and_indications, 2
GABRB1, onset_of_symptoms, 2
GABRB1, fragile_x_syndrome, 2
GABRB1, mental_disorders, 2
SYN1, performance_of_chores, 2
SYN1, exposures, 2
SYN1, bipolar_disorder, 2
JARID2, overactivity, 2
JARID2, onset_of_symptoms, 2
JARID2, siezures, 2
EPHA6, siezures, 2
EPHA6, schizophrenia_and_disorders_with_psychotic_features, 2
GLRA2, siezures, 2
GLRA2, schizophrenia_and_disorders_with_psychotic_features, 2
SOX5, bipolar_disorder, 2
SLC9A6, siezures, 2
SLC9A6, perinatal_history, 2
FAT1, down_syndrome, 2
FAT1, neurologic_indications, 2
CD44, neurologic_indications, 2
CD44, fragile_x_syndrome, 2
CD44, mental_retardation, 2
CD44, neurodegenerative_diseases, 2
OGT, medications, 2
OGT, mental_retardation, 2
OGT, onset_of_symptoms, 2
KCNQ3, tourette_syndrome, 2
IQSEC2, siezures, 2
IQSEC2, perinatal_history, 2
SLC9A9, performance_of_chores, 2
SRGAP3, onset_of_symptoms, 2
SRGAP3, perinatal_history, 2
SRGAP3, vocalizations, 2
SRGAP3, motor_skills, 2
ROBO2, overactivity, 2
ROBO2, onset_of_symptoms, 2
GRM5, onset_of_symptoms, 2
GRM5, perinatal_history, 2
SRRM4, perinatal_history, 2
SRRM4, language_ability, 2
SRRM4, dietary_supplements, 2
SRRM4, schizophrenia_and_disorders_with_psychotic_features, 2
SCN9A, complaints_and_indications, 2
SCN9A, epilepsy, 2
SCN9A, rett_syndrome, 2
TOP1, neurodegenerative_diseases, 2
SLC16A3, epilepsy, 2
SLC16A3, working_memory, 2
SLC16A3, dietary_supplements, 2
VPS13B, comorbidities, 2
VPS13B, perinatal_history, 2
SETBP1, ability_to_converse_in_social_settings, 2
SETBP1, onset_of_symptoms, 2
SETBP1, exposures, 2
BBS4, schizophrenia_and_disorders_with_psychotic_features, 2
FEZF2, bipolar_disorder, 2
FEZF2, schizophrenia_and_disorders_with_psychotic_features, 2
GABRA1, perinatal_history, 2
GABRA1, rett_syndrome, 2
PACS1, comorbidities, 2
DEAF1, comorbidities, 2
SMAD4, epilepsy, 2
SMAD4, working_memory, 2
OPHN1, siezures, 2
OPHN1, perinatal_history, 2
OPHN1, epilepsy, 2
OPHN1, rett_syndrome, 2
MSNP1AS, schizophrenia_and_disorders_with_psychotic_features, 2
MED12, tuberous_sclerosis, 2
DPYSL2, complaints_and_indications, 2
DPYSL2, schizophrenia_and_disorders_with_psychotic_features, 2
USH2A, schizophrenia_and_disorders_with_psychotic_features, 2
USH2A, attention_deficit_disorder_with_hyperactivity, 2
FBXO40, PARK2, 2
SLC1A1, impulse_control_and_regulation, 2
SLC1A1, onset_of_symptoms, 2
SLC1A1, obsessive-compulsive_disorder, 2
AMBRA1, social_competence, 2
AMBRA1, schizophrenia_and_disorders_with_psychotic_features, 2
AMBRA1, medications, 2
ARNT2, mental_disorders, 2
ARNT2, schizophrenia_and_disorders_with_psychotic_features, 2
DDC, perinatal_history, 2
PRODH, medications, 2
PRODH, mental_disorders, 2
POU3F2, bipolar_disorder, 2
NOS1, autistic_disorder, 2
NOS1, neurologic_indications, 2
NOS1, autism_phenotype, 2
BRCA2, medications, 2
BRCA2, mental_disorders, 2
TOP3B, complaints_and_indications, 2
TOP3B, comorbidities, 2
GALNT13, onset_of_symptoms, 2
GALNT13, pica, 2
MTR, dietary_supplements, 2
MTR, neurologic_indications, 2
NLGN4Y, overactivity, 2
NLGN4Y, onset_of_symptoms, 2
NLGN4Y, executive_function, 2
NLGN4Y, rett_syndrome, 2
KCNMA1, ulcerative_colitis, 2
KCNMA1, epilepsy, 2
NEFL, complaints_and_indications, 2
NEFL, overactivity, 2
NEFL, onset_of_symptoms, 2
CACNA1F, metabolic_indications, 2
CACNA1F, complaints_and_indications, 2
NDUFA5, metabolic_indications, 2
NDUFA5, complaints_and_indications, 2
NDUFA5, overactivity, 2
NDUFA5, comorbidities, 2
ZMYND11, neurologic_indications, 2
ZMYND11, language_ability, 2
DIP2C, onset_of_symptoms, 2
RPS6KA3, complaints_and_indications, 2
RPS6KA3, comorbidities, 2
RPS6KA3, perinatal_history, 2
RPS6KA3, tuberous_sclerosis, 2
ETFB, onset_of_symptoms, 2
ETFB, rett_syndrome, 2
ETFB, autism_phenotype, 2
GPHN, ability_to_converse_in_social_settings, 2
GPHN, siezures, 2
KAT2B, complaints_and_indications, 2
ARHGEF9, complaints_and_indications, 2
ARHGEF9, siezures, 2
NR2F1, onset_of_symptoms, 2
SGSH, siezures, 2
SGSH, perinatal_history, 2
SGSH, dietary_supplements, 2
SGSH, fragile_x_syndrome, 2
USP45, ability_to_converse_in_social_settings, 2
USP45, complaints_and_indications, 2
USP45, siezures, 2
DMPK, complaints_and_indications, 2
NAV2, language_ability, 2
NAV2, onset_of_symptoms, 2
NAV2, perinatal_history, 2
CHD1, comorbidities, 2
CHD1, vocalizations, 2
CHD1, anxiety_disorders, 2
ADCY5, perinatal_history, 2
DIP2A, siezures, 2
DIP2A, cardiovascular_diseases, 2
TBL1XR1, onset_of_symptoms, 2
TBL1XR1, siezures, 2
TBL1XR1, cardiovascular_diseases, 2
DLGAP1, siezures, 2
DLGAP1, epilepsy, 2
DLGAP1, medications, 2
MARK1, working_memory, 2
MARK1, complaints_and_indications, 2
MARK1, schizophrenia_and_disorders_with_psychotic_features, 2
RPL10, complaints_and_indications, 2
RPL10, epilepsy, 2
DEPDC5, complaints_and_indications, 2
DEPDC5, comorbidities, 2
DEPDC5, siezures, 2
CACNB2, rett_syndrome, 2
CACNB2, tuberous_sclerosis, 2
ST8SIA2, autism_phenotype, 2
GRM1, comorbidities, 2
CACNA1H, post-traumatic_stress_disorders, 2
GRIK4, complaints_and_indications, 2
GRIK4, comorbidities, 2
CHRM3, neurodegenerative_diseases, 2
CHRM3, schizophrenia_and_disorders_with_psychotic_features, 2
PHF2, complaints_and_indications, 2
PHF2, ability_to_converse_in_social_settings, 2
PHF2, visual_thinking, 2
GIGYF1, schizophrenia_and_disorders_with_psychotic_features, 2
TSPAN7, complaints_and_indications, 2
TSPAN7, siezures, 2
TSPAN7, fragile_x_syndrome, 2
